loss,accuracy,absence,absence_perc,hierarchical,hierarchical_perc
3.4942834901809694,0.3400000035762787,24,48.0,10,20.0
6.1319285583496095,0.11999999731779099,0,0.0,12,24.0
3.4812250900268555,0.5400000214576721,39,78.0,15,30.0
1.8002457237243652,0.5699999928474426,40,80.0,17,34.0
3.3261943578720095,0.5699999928474426,50,100.0,7,14.000000000000002
5.254120111465454,0.4000000059604645,26,52.0,14,28.000000000000004
3.639820346832275,0.4699999988079071,42,84.0,5,10.0
5.082311630249023,0.20000000298023224,7,14.000000000000002,13,26.0
4.190854346752166,0.550000011920929,48,96.0,7,14.000000000000002
4.589628753662109,0.5099999904632568,50,100.0,1,2.0
4.14482967376709,0.49000000953674316,38,76.0,11,22.0
2.3135697174072267,0.6399999856948853,49,98.0,15,30.0
3.1742225742340087,0.44999998807907104,26,52.0,19,38.0
2.5989462649822235,0.550000011920929,50,100.0,5,10.0
2.264861707687378,0.5899999737739563,43,86.0,16,32.0
5.280656509399414,0.49000000953674316,49,98.0,0,0.0
6.024707679748535,0.10000000149011612,0,0.0,10,20.0
3.495361876487732,0.5600000023841858,44,88.0,12,24.0
5.9831170558929445,0.49000000953674316,49,98.0,0,0.0
5.9317155456542965,0.47999998927116394,48,96.0,0,0.0
4.839504013061523,0.12999999523162842,2,4.0,11,22.0
3.832563123703003,0.5299999713897705,50,100.0,3,6.0
2.5626531219482422,0.5699999928474426,48,96.0,9,18.0
4.9824603652954105,0.3199999928474426,19,38.0,13,26.0
2.175408306121826,0.6899999976158142,47,94.0,22,44.0
5.630892658233643,0.4300000071525574,32,64.0,11,22.0
4.234229326248169,0.6200000047683716,47,94.0,15,30.0
4.069747705459594,0.20999999344348907,7,14.000000000000002,14,28.000000000000004
3.144219160079956,0.2199999988079071,6,12.0,16,32.0
3.2550002765655517,0.33000001311302185,21,42.0,12,24.0
2.2203258967399595,0.6100000143051147,42,84.0,19,38.0
2.4628582191467285,0.5899999737739563,39,78.0,20,40.0
4.390085735321045,0.5099999904632568,49,98.0,2,4.0
5.85644458770752,0.17000000178813934,1,2.0,16,32.0
4.366566104888916,0.5299999713897705,50,100.0,3,6.0
5.86392014503479,0.2199999988079071,12,24.0,10,20.0
5.568757629394531,0.5400000214576721,50,100.0,4,8.0
3.795062294006348,0.4399999976158142,20,40.0,24,48.0
5.954899024963379,0.12999999523162842,0,0.0,13,26.0
5.064833374023437,0.5600000023841858,49,98.0,7,14.000000000000002
2.3000310897827148,0.6399999856948853,49,98.0,15,30.0
4.6374580192565915,0.5,50,100.0,0,0.0
8.243121337890624,0.09000000357627869,0,0.0,9,18.0
5.050945186614991,0.5199999809265137,50,100.0,2,4.0
5.184352073669434,0.5699999928474426,50,100.0,7,14.000000000000002
4.819661433696747,0.5899999737739563,50,100.0,9,18.0
2.1901118469238283,0.5600000023841858,49,98.0,7,14.000000000000002
3.8099232482910157,0.5600000023841858,50,100.0,6,12.0
6.745735092163086,0.1599999964237213,2,4.0,14,28.000000000000004
8.003553657531738,0.10999999940395355,5,10.0,6,12.0
2.986043972969055,0.5699999928474426,50,100.0,7,14.000000000000002
8.974087409973144,0.12999999523162842,0,0.0,13,26.0
4.310604438781739,0.2800000011920929,9,18.0,19,38.0
2.8392742347717284,0.6399999856948853,50,100.0,14,28.000000000000004
2.852718734741211,0.44999998807907104,26,52.0,19,38.0
3.9851823616027833,0.5799999833106995,43,86.0,15,30.0
2.514290313720703,0.5799999833106995,49,98.0,9,18.0
1.959601851552725,0.6000000238418579,50,100.0,10,20.0
5.257612266540527,0.5099999904632568,48,96.0,3,6.0
6.168233757019043,0.5,50,100.0,0,0.0
2.567982473373413,0.4099999964237213,26,52.0,15,30.0
5.43097354888916,0.12999999523162842,0,0.0,13,26.0
5.248556213378906,0.5,50,100.0,0,0.0
3.9221894264221193,0.25999999046325684,5,10.0,21,42.0
4.594335021972657,0.11999999731779099,2,4.0,10,20.0
3.059644832611084,0.6499999761581421,47,94.0,18,36.0
3.4168529891967774,0.5400000214576721,45,90.0,9,18.0
3.5021419525146484,0.5600000023841858,44,88.0,12,24.0
4.1268240213394165,0.28999999165534973,12,24.0,17,34.0
2.5071560382843017,0.5799999833106995,46,92.0,12,24.0
3.6000785636901855,0.5199999809265137,49,98.0,3,6.0
6.805813312530518,0.12999999523162842,0,0.0,13,26.0
2.567112340927124,0.5799999833106995,46,92.0,12,24.0
3.229749708175659,0.550000011920929,50,100.0,5,10.0
4.716327896118164,0.20999999344348907,7,14.000000000000002,14,28.000000000000004
2.22400032043457,0.5299999713897705,33,66.0,20,40.0
5.597696232611779,0.5,50,100.0,0,0.0
3.1115927124023437,0.3700000047683716,16,32.0,21,42.0
3.134459762573242,0.5699999928474426,42,84.0,15,30.0
3.4975569915771483,0.25,12,24.0,13,26.0
4.268372840881348,0.5299999713897705,50,100.0,3,6.0
3.429157199859619,0.28999999165534973,14,28.000000000000004,15,30.0
3.9672153527662157,0.5099999904632568,50,100.0,1,2.0
3.3500721931457518,0.30000001192092896,24,48.0,6,12.0
4.312320327758789,0.5,32,64.0,18,36.0
2.9989430046081544,0.5600000023841858,50,100.0,6,12.0
2.2133556747436525,0.6499999761581421,44,88.0,21,42.0
6.470679407119751,0.10999999940395355,1,2.0,10,20.0
3.0773954010009765,0.6499999761581421,48,96.0,17,34.0
4.412969996929169,0.41999998688697815,27,54.0,15,30.0
3.4884153747558595,0.36000001430511475,10,20.0,26,52.0
2.1453575706481933,0.5199999809265137,38,76.0,14,28.000000000000004
4.172447848320007,0.25,11,22.0,14,28.000000000000004
4.825328254699707,0.10999999940395355,0,0.0,11,22.0
3.422265062332153,0.4000000059604645,31,62.0,9,18.0
2.8041546058654787,0.5,33,66.0,17,34.0
6.280080299377442,0.3400000035762787,23,46.0,11,22.0
5.279684867858887,0.5299999713897705,50,100.0,3,6.0
3.995018539428711,0.5600000023841858,43,86.0,13,26.0
4.233526439666748,0.36000001430511475,17,34.0,19,38.0
