run,loss,accuracy,absence,absence_perc,linear,linear_perc,train_size
1,0.0008788978029042482,1.0,50,100.0,50,100.0,300
2,0.0016290590818971397,1.0,50,100.0,50,100.0,300
3,0.0005115774367004633,1.0,50,100.0,50,100.0,300
4,0.006596197560429573,1.0,50,100.0,50,100.0,300
5,0.0092517723236233,0.9900000095367432,50,100.0,49,98.0,300
6,0.000278032599017024,1.0,50,100.0,50,100.0,300
7,0.0018470960960257799,1.0,50,100.0,50,100.0,300
8,0.0014011709950864314,1.0,50,100.0,50,100.0,300
9,0.002025048197247088,1.0,50,100.0,50,100.0,300
10,0.0013586270902305841,1.0,50,100.0,50,100.0,300
11,0.0009702890040352941,1.0,50,100.0,50,100.0,300
12,0.00044910391501616685,1.0,50,100.0,50,100.0,300
13,0.002415884310612455,1.0,50,100.0,50,100.0,300
14,0.002134417244233191,1.0,50,100.0,50,100.0,300
15,0.00045206086651887744,1.0,50,100.0,50,100.0,300
16,0.008148310594260693,1.0,50,100.0,50,100.0,300
17,0.0016882290877401828,1.0,50,100.0,50,100.0,300
18,0.0015355253592133522,1.0,50,100.0,50,100.0,300
19,0.0005771079519763588,1.0,50,100.0,50,100.0,300
20,0.00757396666216664,0.9900000095367432,50,100.0,49,98.0,300
21,0.002687682411051355,1.0,50,100.0,50,100.0,300
22,0.0006797484820708632,1.0,50,100.0,50,100.0,300
23,0.0005179385869996622,1.0,50,100.0,50,100.0,300
24,0.0015424338728189468,1.0,50,100.0,50,100.0,300
25,0.07342841193079948,0.9700000286102295,49,98.0,48,96.0,300
26,0.04785795193281956,0.9800000190734863,50,100.0,48,96.0,300
27,0.0011551856837468222,1.0,50,100.0,50,100.0,300
28,0.04454848381341435,0.9900000095367432,49,98.0,50,100.0,300
29,0.008279413622803987,0.9900000095367432,50,100.0,49,98.0,300
30,0.0004907008202280849,1.0,50,100.0,50,100.0,300
31,0.005875266229268163,1.0,50,100.0,50,100.0,300
32,0.00045505458489060403,1.0,50,100.0,50,100.0,300
33,0.0012195108458399773,1.0,50,100.0,50,100.0,300
34,0.0006623473204672337,1.0,50,100.0,50,100.0,300
35,0.006401242216234095,1.0,50,100.0,50,100.0,300
36,0.001650045359856449,1.0,50,100.0,50,100.0,300
37,0.007752324943430722,1.0,50,100.0,50,100.0,300
38,0.009447502344846726,1.0,50,100.0,50,100.0,300
39,0.0009744556294754148,1.0,50,100.0,50,100.0,300
40,0.0004605447349604219,1.0,50,100.0,50,100.0,300
41,0.0086027542501688,1.0,50,100.0,50,100.0,300
42,0.01465380166657269,0.9900000095367432,50,100.0,49,98.0,300
43,0.001801674250746146,1.0,50,100.0,50,100.0,300
44,0.004106153575703502,1.0,50,100.0,50,100.0,300
